Sequence	FileName	OccupiedMemory(MB)
104	20160510066.txt	1712.131362915039
105	20170314012.txt	644.9243927001953
106	20170314006.txt	1822.4305038452148
107	20160913116.txt	1514.4072952270508
108	20160209015.txt	594.5123901367188
109	20160913107.txt	1320.5820693969727
110	20160112006.txt	1766.7936172485352
111	20170314015.txt	657.4247512817383
112	20160209021.txt	1036.9073638916016
113	20160308023.txt	1261.4018020629883
114	20160712085.txt	1022.0597915649414
115	20160809099.txt	862.880485534668
116	20170314014.txt	1000.5848541259766
117	20160614063.txt	1020.5923309326172
118	20160112007.txt	1094.6114120483398
119	20160412046.txt	1297.390281677246
120	20161108134.txt	1343.1279754638672
121	20160308031.txt	1771.4385528564453
122	20160913115.txt	2199.7473068237305
123	20160412039.txt	1528.2373886108398
124	20160712084.txt	2109.4635620117188
125	20170314007.txt	1061.881690979004
126	20161011122.txt	1764.3344116210938
127	20170314011.txt	1455.8260955810547
128	20160412048.txt	1825.9247436523438
129	20160308033.txt	1118.0773010253906
130	20161213146.txt	734.0189056396484
131	20170314021.txt	630.7555847167969
132	20160510053.txt	1294.0540084838867
133	20161213150.txt	1602.014389038086
134	20160913111.txt	787.4777603149414
135	20160209011.txt	1256.4976959228516
136	20160209014.txt	747.3925857543945
137	20160209022.txt	1745.1757736206055
138	20160112005.txt	907.8723068237305
139	20170314008.txt	1364.1812057495117
140	20160712089.txt	1569.446762084961
141	20160209013.txt	1085.4042358398438
142	20170314019.txt	1332.788948059082
143	20160510065.txt	907.4776840209961
144	20160913110.txt	608.9330215454102
145	20170314016.txt	583.6581497192383
146	20160412038.txt	1109.6936111450195
147	20161108132.txt	788.0996246337891
148	20160913108.txt	614.2619018554688
149	20160913113.txt	839.3979949951172
150	20170221005.txt	1134.9275665283203
151	20170110004.txt	1115.9749221801758
152	20160308024.txt	988.3107070922852
153	20160112008.txt	1055.7952728271484
154	20160412049.txt	1256.1888275146484
155	20161213155.txt	1350.1244659423828
156	20160209012.txt	1678.3039016723633
157	20160112004.txt	1784.0409851074219
158	20161108130.txt	1177.9516983032227
159	20161213144.txt	838.6099243164062
160	20160809100.txt	1324.593521118164
161	20160510059.txt	521.9132690429688
162	20160614071.txt	732.8686447143555
163	20160809095.txt	928.5345458984375
164	20160913117.txt	848.057373046875
165	20161213147.txt	580.2026824951172
166	20160308027.txt	1273.4718856811523
167	20160510052.txt	636.830078125
168	20160809101.txt	927.9912796020508
169	20160614080.txt	1320.6750946044922
170	20160308030.txt	700.8490371704102
171	20160809096.txt	1320.2044525146484
172	20160913104.txt	698.0441207885742
173	20160510067.txt	957.1176681518555
174	20160412040.txt	801.9409103393555
175	20160809097.txt	938.4292526245117
